2021-07-16 17:07:46.013 30561-30561/? I/.HappySingapor: Late-enabling -Xcheck:jni
2021-07-16 17:07:46.026 30561-30561/? I/.HappySingapor: Unquickening 22 vdex files!
2021-07-16 17:07:46.026 30561-30561/? E/.HappySingapor: Unknown bits set in runtime_flags: 0x40000000
2021-07-16 17:07:46.038 30561-30561/? E/RefClass: java.lang.reflect.InvocationTargetException
2021-07-16 17:07:46.038 30561-30561/? I/OneTrace: Mark active for pid=30561? true
2021-07-16 17:07:46.064 30561-30561/? V/studio.deploy: Startup agent attached to VM
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->tid:J (greylist-max-o, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->getNativeTid()I (blacklist, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->priority:I (greylist, linking, allowed)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden method Ldalvik/system/VMStack;->getThreadStackTrace(Ljava/lang/Thread;)[Ljava/lang/StackTraceElement; (greylist, linking, allowed)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Llibcore/util/EmptyArray;->STACK_TRACE_ELEMENT:[Ljava/lang/StackTraceElement; (blacklist, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nativeGetStatus(Z)I (greylist-max-o, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->uncaughtExceptionHandler:Ljava/lang/Thread$UncaughtExceptionHandler; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->uncaughtExceptionHandler:Ljava/lang/Thread$UncaughtExceptionHandler; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
